place_ID,cell_ID,rząd,poz,fastener_name,screw_image,drive_image,drive_name_and_size,size,material,coating,strength_class,norms
A101,314,3,14,Nakrętka sześciokątna,DIN934.svg,Hex_External.svg,WAF13,M8,stal,ocynkowana,8.8,DIN934
A101,315,3,15,Nakrętka pazurkowa,nakr_pazurkowa.svg,hammer.svg,,M5,stal,ocynkowana,,Eurobolt
A101,316,3,16,Nakrętka motylkowa,DIN314.svg,,,M6,stal,ocynkowana,,DIN314
A101,401,4,1,Śruba stożkowa,ISO10642.svg,Hex_Socket.svg,H2.5,M4x10,stal,oksydowana,,ISO10642
A101,402,4,2,Podkładka,DIN126.svg,,,d4-9,stal,ocynkowana,,DIN126
A101,403,4,3,Śruba stożkowa,ISO10642.svg,Hex_Socket.svg,H2.5,M4x10,stal,nierdzewna,A2,ISO10642
A101,404,4,4,Śruba stożkowa,ISO10642.svg,Hex_Socket.svg,H2.5,M4x16,stal,oksydowana,,ISO10642
A101,405,4,5,Śruba stożkowa,ISO10642.svg,Hex_Socket.svg,H2.5,M4x16,stal,nierdzewna,A2,ISO10642
A101,406,4,6,Śruba kulista,ISO7380-1.svg,Hex_Socket.svg,H2.5,M4x16,stal,nierdzewna,,ISO7380-1
A101,407,4,7,Śruba stożkowa,ISO10642.svg,Hex_Socket.svg,H2.5,M4x14,stal,oksydowana,,ISO10642
A101,408,4,8,Śruba stożkowa,ISO10642.svg,Hex_Socket.svg,H2.5,M4x12,stal,oksydowana,,ISO10642
A101,409,4,9,Śruba walcowa,DIN912.svg,Hex_Socket.svg,H3,M4x12,stal,oksydowana,,DIN912
A101,411,4,11,Śruba stożkowa,ISO10642.svg,Hex_Socket.svg,H2.5,M4x14,stal,ocynkowana,,ISO10642
A101,412,4,12,Śruba stożkowa,DIN965.svg,PH.svg,PH2,M5x16,stal,ocynkowana,,DIN965
A101,413,4,13,Śruba stożkowa,DIN965.svg,PZ.svg,PZ2,M5x10,stal,ocynkowana,,DIN965
A101,414,4,14,Śruba sześciokątna,DIN933.svg,Hex_External.svg,WAF10,M6x16,stal,ocynkowana,5.8,DIN933
A101,415,4,15,Nakrętka sześciokątna,DIN934.svg,Hex_External.svg,WAF10,M6,stal,ocynkowana,8.8,DIN934
A101,416,4,16,Śruba walcowa,DIN912.svg,Hex_Socket.svg,H4,M5x25,stal,oksydowana,10.9,DIN912
A101,501,5,1,Kołek stalowy,ISO8734.svg,hammer.svg,,d4x6,stal,hartowana,,ISO8734
A101,502,5,2,Śruba stożkowa,ISO10642.svg,Hex_Socket.svg,H2.5,M4x20,stal,nierdzewna,,ISO10642
A101,503,5,3,Kołek stalowy,ISO8734.svg,hammer.svg,,d4x36,stal,hartowana,,ISO8734
A101,504,5,4,Nakrętka kwadratowa,DIN562.svg,Hex_External.svg,WAF7,M4,stal,ocynkowana,,DIN562
